id,signalId,symbol,side,status,entryPrice,stopLoss,initialStop,currentStop,tpLadder,depositAtEntryUsd,riskUsd,positionSizeUsd,positionUnits,leverage,marginUsd,closes,realizedR,realizedPnlUsd,feesPaidUsd,slipPaidUsd,netPnlUsd,feesRoundTripPct,feeTakerPct,feeMakerPct,slipTakerPct,autoTrailingSL,lastPriceCheck,lastPriceCheckAt,openedAt,closedAt,expiresAt
29,19,KASUSDT,SELL,EXPIRED,0.03599,0.03676,0.03676,0.03599,"[0.03536, 0.03466, 0.03396]",494.4180535679375,9.88836107135875,462.1845648807811,12842.02736540098,9.34805194805195,49.44180535679375,"[{""pnlR"": 0.4090909090909083, ""price"": 0.03536, ""pnlUsd"": 4.0452386201013, ""reason"": ""TP1"", ""percent"": 50, ""closedAt"": ""2026-05-07T19:19:26.452Z""}, {""pnlR"": 0.4025974025974043, ""price"": 0.03537, ""pnlUsd"": 3.98102848327432, ""reason"": ""EXPIRED"", ""percent"": 50, ""closedAt"": ""2026-05-07T23:55:01.332Z""}]",0.8116883116883126,8.02626710337562,0.3633266382219246,0,7.662940465153695,0.08,,,,t,0.03537,2026-05-07 23:55:00.857,2026-05-07 15:09:46.715,2026-05-07 23:55:01.333,2026-05-07 23:55:00
30,20,STXUSDT,SELL,EXPIRED,0.2482,0.2576,0.2576,0.2576,"[0.2412, 0.233, 0.2248000000000001]",493.9278856935043,9.878557713870087,260.8359600619743,1050.910395092563,5.280851063829793,49.39278856935043,"[{""pnlR"": -0.351063829787234, ""price"": 0.2515, ""pnlUsd"": -3.468004303805455, ""reason"": ""EXPIRED"", ""percent"": 100, ""closedAt"": ""2026-05-07T23:55:00.857Z""}]",-0.351063829787234,-3.468004303805455,0.2114431714926237,0,-3.679447475298079,0.08,,,,t,0.2515,2026-05-07 23:55:00.857,2026-05-07 17:46:52.599,2026-05-07 23:55:00.857,2026-05-07 23:55:00
31,21,ARUSDT,SELL,EXPIRED,2.4103,2.6401,2.6401,2.6401,"[2.1907, 1.966, 1.7413]",497.5130316867327,9.950260633734654,104.3651575521786,43.29965462895846,2.097737162750217,49.75130316867327,"[{""pnlR"": -0.175805047867711, ""price"": 2.4507, ""pnlUsd"": -1.749306047009921, ""reason"": ""EXPIRED"", ""percent"": 100, ""closedAt"": ""2026-05-07T23:55:01.425Z""}]",-0.175805047867711,-1.749306047009921,0.08489157087935079,0,-1.834197617889272,0.08,,,,t,2.4507,2026-05-07 23:55:00.857,2026-05-07 21:01:37.154,2026-05-07 23:55:01.425,2026-05-07 23:55:00
44,34,SANDUSDT,SELL,SL_HIT,0.07653,0.07765,0.07765,0.07765,"[0.07549, 0.07441, 0.07333]",509.7266821314873,10.19453364262974,696.5961247057653,9102.262180919448,13.66607142857148,50.97266821314873,"[{""pnlR"": -1, ""price"": 0.07765, ""pnlUsd"": -10.19453364262974, ""reason"": ""SL"", ""percent"": 100, ""closedAt"": ""2026-05-08T04:23:05.167Z""}]",-1,-10.19453364262974,0.5654325266787161,0,-10.75996616930846,0.08,,,,t,0.07765,2026-05-08 04:23:05.167,2026-05-08 03:06:57.26,2026-05-08 04:23:05.173,2026-05-08 23:55:00
45,35,ORDIUSDT,SELL,SL_HIT,5.111,5.21,5.21,5.21,"[5.021999999999999, 4.927999999999999, 4.833999999999999]",509.7266821314873,10.19453364262974,526.3056711866718,102.9750872992901,10.3252525252525,50.97266821314873,"[{""pnlR"": -1, ""price"": 5.21, ""pnlUsd"": -10.19453364262974, ""reason"": ""SL"", ""percent"": 100, ""closedAt"": ""2026-05-08T03:55:08.701Z""}]",-1,-10.19453364262974,0.4292001638634412,0,-10.62373380649318,0.08,,,,t,5.212,2026-05-08 03:55:08.701,2026-05-08 03:06:57.44,2026-05-08 03:55:08.705,2026-05-08 23:55:00
47,37,VVVUSDT,BUY,EXPIRED,13.005,12.329,12.329,13.005,"[13.561, 14.177, 14.793]",509.7266821314873,10.19453364262974,196.1241272520707,15.08067106897891,3.847633136094673,50.97266821314873,"[{""pnlR"": 0.4112426035502951, ""price"": 13.561, ""pnlUsd"": 4.19242655717613, ""reason"": ""TP1"", ""percent"": 50, ""closedAt"": ""2026-05-08T04:24:07.181Z""}, {""pnlR"": 0.5835798816568044, ""price"": 13.794, ""pnlUsd"": 5.949324736712178, ""reason"": ""EXPIRED"", ""percent"": 50, ""closedAt"": ""2026-05-08T23:55:02.091Z""}]",0.9948224852070995,10.14175129388831,0.1650127028367672,0,9.976738591051541,0.08,,,,t,13.794,2026-05-08 23:55:01.787,2026-05-08 03:06:57.79,2026-05-08 23:55:02.091,2026-05-08 23:55:00
48,38,STRKUSDT,BUY,CLOSED,0.04715,0.04473,0.04473,0.05169000000000001,"[0.04937, 0.05169000000000001, 0.05401000000000001]",509.3851652544591,10.18770330508918,198.4918226590724,4209.794754169086,3.896694214876034,50.93851652544591,"[{""pnlR"": 0.4586776859504135, ""price"": 0.04937, ""pnlUsd"": 4.672872177127686, ""reason"": ""TP1"", ""percent"": 50, ""closedAt"": ""2026-05-08T05:49:18.164Z""}, {""pnlR"": 0.5628099173553734, ""price"": 0.05169000000000001, ""pnlUsd"": 5.733740455178307, ""reason"": ""TP2"", ""percent"": 30, ""closedAt"": ""2026-05-08T07:48:42.389Z""}, {""pnlR"": 0.566942148760332, ""price"": 0.05401000000000001, ""pnlUsd"": 5.775838402719997, ""reason"": ""TP3"", ""percent"": 20, ""closedAt"": ""2026-05-08T09:08:09.312Z""}]",1.588429752066119,16.18245103502599,0.1717394189552788,0,16.01071161607071,0.08,,,,t,0.05417,2026-05-08 09:08:09.312,2026-05-08 03:31:55.827,2026-05-08 09:08:09.326,2026-05-08 23:55:00
49,39,LDOUSDT,BUY,CLOSED,0.3888,0.3817,0.3817,0.3957,"[0.3957, 0.4027, 0.4097]",498.7614314479659,9.975228628959318,546.2491395689275,1404.961778726665,10.95211267605634,49.87614314479659,"[{""pnlR"": 0.485915492957748, ""price"": 0.3957, ""pnlUsd"": 4.847118136607007, ""reason"": ""TP1"", ""percent"": 50, ""closedAt"": ""2026-05-08T10:41:18.677Z""}, {""pnlR"": 0.5873239436619733, ""price"": 0.4027, ""pnlUsd"": 5.858690617290203, ""reason"": ""TP2"", ""percent"": 30, ""closedAt"": ""2026-05-08T12:00:27.879Z""}, {""pnlR"": 0.1943661971830992, ""price"": 0.3957, ""pnlUsd"": 1.938847254642802, ""reason"": ""SL"", ""percent"": 20, ""closedAt"": ""2026-05-08T13:14:41.257Z""}]",1.26760563380282,12.64465600854001,0.4471150364619738,0,12.19754097207804,0.08,,,,t,0.3953,2026-05-08 13:14:41.257,2026-05-08 04:16:55.497,2026-05-08 13:14:41.275,2026-05-08 23:55:00
50,40,ETCUSDT,BUY,CLOSED,9.314,9.195,9.195,9.381,"[9.381, 9.474, 9.567]",498.7614314479659,9.975228628959318,780.750247480061,83.82545066352384,15.65378151260507,49.87614314479659,"[{""pnlR"": 0.2815126050420181, ""price"": 9.381, ""pnlUsd"": 2.808152597228056, ""reason"": ""TP1"", ""percent"": 50, ""closedAt"": ""2026-05-08T08:16:48.871Z""}, {""pnlR"": 0.4033613445378162, ""price"": 9.474, ""pnlUsd"": 4.023621631849148, ""reason"": ""TP2"", ""percent"": 30, ""closedAt"": ""2026-05-08T09:58:06.059Z""}, {""pnlR"": 0.1126050420168072, ""price"": 9.381, ""pnlUsd"": 1.123261038891222, ""reason"": ""SL"", ""percent"": 20, ""closedAt"": ""2026-05-08T11:09:07.156Z""}]",0.7974789915966415,7.955035267968426,0.6309642261984236,0,7.324071041770003,0.08,,,,t,9.378,2026-05-08 11:09:07.156,2026-05-08 04:21:54.675,2026-05-08 11:09:07.178,2026-05-08 23:55:00
51,41,STXUSDT,BUY,EXPIRED,0.2642,0.2511,0.2511,0.2511,"[0.2743, 0.2859, 0.2975]",492.112088243687,9.84224176487374,198.4977308610414,751.3161652575375,4.033587786259542,49.2112088243687,"[{""pnlR"": 0.07633587786259549, ""price"": 0.2652, ""pnlUsd"": 0.7513161652575382, ""reason"": ""EXPIRED"", ""percent"": 100, ""closedAt"": ""2026-05-08T23:55:01.787Z""}]",0.07633587786259549,0.7513161652575382,0.1593992376210392,0,0.5919169276364991,0.08,,,,t,0.2652,2026-05-08 23:55:01.787,2026-05-08 04:31:54.689,2026-05-08 23:55:01.787,2026-05-08 23:55:00
